Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL,BundlerShadowed,BundlerShadowedDetail
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2025-39958,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: iommu/s390: Make attach succeed when the device was surprise removed,https://avd.aquasec.com/nvd/cve-2025-39958,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2025-40025,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: f2fs: fix to do sanity check on node footer for non inode dnode,https://avd.aquasec.com/nvd/cve-2025-40025,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2025-68174,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: Linux kernel AMD KFD: Race condition causes system crash,https://avd.aquasec.com/nvd/cve-2025-68174,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2025-68735,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: Kernel: Privilege escalation via use-after-free in drm/panthor,https://avd.aquasec.com/nvd/cve-2025-68735,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-23102,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: Linux kernel: Denial of Service due to incorrect SVE context restoration,https://avd.aquasec.com/nvd/cve-2026-23102,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-23208,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: ALSA: usb-audio: Prevent excessive number of frames,https://avd.aquasec.com/nvd/cve-2026-23208,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-23327,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: cxl/mbox: validate payload size before accessing contents in cxl_payload_from_user_allowed(),https://avd.aquasec.com/nvd/cve-2026-23327,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-31493,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: RDMA/efa: Fix use of completion ctx after free,https://avd.aquasec.com/nvd/cve-2026-31493,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-31536,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: smb: server: let send_done handle a completion without IB_SEND_SIGNALED,https://avd.aquasec.com/nvd/cve-2026-31536,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-31568,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: s390/mm: Add missing secure storage access fixups for donated memory,https://avd.aquasec.com/nvd/cve-2026-31568,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-43198,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: tcp: fix potential race in tcp_v6_syn_recv_sock(),https://avd.aquasec.com/nvd/cve-2026-43198,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-43263,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: media: chips-media: wave5: Fix Null reference while testing fluster,https://avd.aquasec.com/nvd/cve-2026-43263,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-46130,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: dm-verity-fec: fix reading parity bytes split across blocks (take 3),https://avd.aquasec.com/nvd/cve-2026-46130,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-46181,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: RDMA/mlx4: Fix mis-use of RCU in mlx4_srq_event(),https://avd.aquasec.com/nvd/cve-2026-46181,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-46279,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: mm/alloc_tag: clear codetag for pages allocated before page_ext initialization,https://avd.aquasec.com/nvd/cve-2026-46279,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-52991,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: sched/psi: fix race between file release and pressure write,https://avd.aquasec.com/nvd/cve-2026-52991,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-53000,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: netfilter: nat: use kfree_rcu to release ops,https://avd.aquasec.com/nvd/cve-2026-53000,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-53010,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: ksmbd: fix use-after-free in smb2_open during durable reconnect,https://avd.aquasec.com/nvd/cve-2026-53010,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-53089,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: bpf: Fix use-after-free in offloaded map/prog info fill,https://avd.aquasec.com/nvd/cve-2026-53089,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-53091,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: net: pull headers in qdisc_pkt_len_segs_init(),https://avd.aquasec.com/nvd/cve-2026-53091,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-53109,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: powerpc/pgtable-frag: Fix bad page state in pte_frag_destroy,https://avd.aquasec.com/nvd/cve-2026-53109,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-53118,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: vdpa: use generic driver_override infrastructure,https://avd.aquasec.com/nvd/cve-2026-53118,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-53277,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: KVM: arm64: Take the SRCU lock for page table walks in fault injection and AT emulation,https://avd.aquasec.com/nvd/cve-2026-53277,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-53330,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: drm/amd/display: Fix out-of-bounds read in dp_get_eq_aux_rd_interval(),https://avd.aquasec.com/nvd/cve-2026-53330,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-63879,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: drm/amdgpu: fix amdgpu_hmm_range_get_pages,https://avd.aquasec.com/nvd/cve-2026-63879,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-64283,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: KVM: guest_memfd: Treat memslot binding offset+size as unsigned values,https://avd.aquasec.com/nvd/cve-2026-64283,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-68409,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: wifi: mac80211: defer link RX stats percpu free to RCU,https://avd.aquasec.com/nvd/cve-2026-68409,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-68426,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: xfrm: fix stale skb->prev after async crypto steals a GSO segment,https://avd.aquasec.com/nvd/cve-2026-68426,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-68470,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: wifi: mac80211: validate extension-frame layout before RX,https://avd.aquasec.com/nvd/cve-2026-68470,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-72042,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: ipmi: Fix user refcount underflow in event delivery,https://avd.aquasec.com/nvd/cve-2026-72042,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-72098,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: dm-verity: fix buffer overflow in FEC calculation,https://avd.aquasec.com/nvd/cve-2026-72098,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-72463,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: xfrm: Fix dev use-after-free in xfrm async resumption,https://avd.aquasec.com/nvd/cve-2026-72463,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-74268,linux-libc-dev,6.12.107-1,N/A,HIGH,"In the Linux kernel, the following vulnerability has been resolved:  t ...",https://avd.aquasec.com/nvd/cve-2026-74268,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-74269,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: bnxt: fix head underflow on XDP head-grow,https://avd.aquasec.com/nvd/cve-2026-74269,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-74520,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: iommu/iommufd: Fix IOPF group ownership UAF,https://avd.aquasec.com/nvd/cve-2026-74520,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-74611,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: tls: rx: restore msg_iter before TLS 1.3 optimistic retry,https://avd.aquasec.com/nvd/cve-2026-74611,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-74752,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: sctp: validate cookie AUTH state before use,https://avd.aquasec.com/nvd/cve-2026-74752,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-74753,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: perf: Reject exited events as group leaders,https://avd.aquasec.com/nvd/cve-2026-74753,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-80844,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: xfrm: ah6: validate routing header segments_left,https://avd.aquasec.com/nvd/cve-2026-80844,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-80951,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: i3c: master: svc: bound IBI payload to the requested max_payload_len,https://avd.aquasec.com/nvd/cve-2026-80951,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-81000,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: net: tun: bound receive headroom,https://avd.aquasec.com/nvd/cve-2026-81000,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89479,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: sctp: stop processing a packet once its association is deleted,https://avd.aquasec.com/nvd/cve-2026-89479,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89480,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: nvme-tcp: reject a read that transferred too few bytes,https://avd.aquasec.com/nvd/cve-2026-89480,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89481,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: nvme-tcp: fix host memory disclosure on R2T for a read command,https://avd.aquasec.com/nvd/cve-2026-89481,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89487,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: openvswitch: only skb_tx_error() a packet we are about to drop,https://avd.aquasec.com/nvd/cve-2026-89487,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89488,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: openvswitch: Fix CT limit teardown use-after-free,https://avd.aquasec.com/nvd/cve-2026-89488,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89526,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: svcrdma: Validate Read chunk positions before reconstruction,https://avd.aquasec.com/nvd/cve-2026-89526,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89530,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: svcrdma: Reject inline replies that overflow the pull-up buffer,https://avd.aquasec.com/nvd/cve-2026-89530,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89536,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: SUNRPC: wait for in-flight client TLS handshake callback,https://avd.aquasec.com/nvd/cve-2026-89536,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89545,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: sunrpc: defer rq_argp and rq_resp free until after RCU grace period,https://avd.aquasec.com/nvd/cve-2026-89545,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89563,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: ip6_tunnel: use skb_cow_head() in ip6_tnl_xmit(),https://avd.aquasec.com/nvd/cve-2026-89563,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89564,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: ip: orphan prefetched skbs before multicast forwarding,https://avd.aquasec.com/nvd/cve-2026-89564,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89569,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: Bluetooth: RFCOMM: serialize security confirmation handling,https://avd.aquasec.com/nvd/cve-2026-89569,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89579,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: bpf: Harden bloom filter sizing and indexing on 32-bit kernels,https://avd.aquasec.com/nvd/cve-2026-89579,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89603,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: entry: Fix seccomp bypass after ptrace with TSYNC,https://avd.aquasec.com/nvd/cve-2026-89603,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89607,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: ecryptfs: reject oversized encrypted_key_size in parse_tag_3_packet,https://avd.aquasec.com/nvd/cve-2026-89607,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89631,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: smb: client: reject a tree connect response whose byte count is too small,https://avd.aquasec.com/nvd/cve-2026-89631,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89633,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: smb: client: fix OOB read/write from unvalidated DataOffset in coalesce_t2(),https://avd.aquasec.com/nvd/cve-2026-89633,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89638,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: smb: client: clear setuid/setgid bit on write with cifsacl/modefromsid/posix extensions,https://avd.aquasec.com/nvd/cve-2026-89638,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89652,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: ceph: bound copied dentry name length in NFS export get_name,https://avd.aquasec.com/nvd/cve-2026-89652,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89653,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: ceph: reject export_targets ranks >= CEPH_MAX_MDS in mdsmap decode,https://avd.aquasec.com/nvd/cve-2026-89653,"",""
fairdatasystems/sevexternal:2026-09-22 (debian 13.7),CVE-2026-89656,linux-libc-dev,6.12.107-1,N/A,HIGH,kernel: libceph: reject buckets with mismatched CRUSH ids,https://avd.aquasec.com/nvd/cve-2026-89656,"",""
